Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032240,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Class of worker:,Private wage and salary workers,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Industry:,Education and health services,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,5.5,5.6,5.2,5.0,5.4,6.2,6.6,6.7,6.3,5.8,5.9,5.2
2011,5.8,5.6,5.3,5.0,5.7,5.8,5.9,6.3,5.7,5.6,5.2,5.5
2012,5.5,5.4,5.3,4.8,5.3,6.2,6.5,6.2,5.5,5.5,5.2,5.2
2013,5.4,5.3,5.0,4.4,4.8,5.6,5.7,5.4,5.2,4.2,3.9,4.0
2014,4.1,4.0,4.0,3.7,3.9,4.5,4.8,4.8,3.9,4.4,4.0,3.8
2015,4.0,3.5,3.3,3.1,3.5,4.2,4.3,4.1,3.5,3.4,3.2,3.1
2016,3.2,3.0,3.4,2.7,2.9,3.6,3.7,4.1,3.7,3.4,3.1,2.9
2017,2.7,3.2,2.8,2.6,2.8,3.1,3.5,3.8,3.4,2.9,2.5,3.0
2018,2.7,2.5,2.6,2.3,2.3,3.2,3.2,3.1,2.8,2.7,2.3,2.1
2019,2.6,2.5,2.3,2.1,2.4,3.0,3.1,2.7,2.2,2.2,2.3,2.4
2020,2.4,2.4,3.2,10.9,10.1,8.6,,,,,,
