Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032238,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Class of worker:,Private wage and salary workers,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Industry:,Financial activities,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,6.6,7.5,7.7,7.6,6.8,6.9,6.4,6.7,6.3,6.7,6.7,6.4
2011,7.2,6.9,7.1,6.7,6.8,6.8,6.0,6.2,5.5,5.8,6.1,5.6
2012,4.9,5.3,5.7,5.5,5.1,5.6,5.1,5.3,4.8,4.9,4.7,4.1
2013,5.5,4.5,4.3,5.4,4.4,4.7,4.5,3.8,3.9,4.6,4.3,4.2
2014,3.8,4.2,4.2,5.0,4.8,4.4,3.6,3.5,3.5,3.6,3.5,3.4
2015,3.0,3.1,2.6,2.7,2.3,2.5,2.3,2.5,2.6,2.4,2.6,2.6
2016,3.1,3.6,3.0,2.7,1.8,2.2,2.4,2.8,3.0,2.7,2.8,2.6
2017,3.3,3.4,2.3,2.3,2.3,2.5,2.3,2.5,2.5,2.2,2.1,1.5
2018,2.2,2.2,1.8,1.6,1.7,2.1,2.3,2.7,2.7,2.0,2.1,2.4
2019,2.4,2.6,2.8,2.1,1.7,2.0,1.7,2.1,1.9,2.0,2.1,2.3
2020,2.5,1.6,2.2,5.4,5.7,5.1,,,,,,
