Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032241,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Class of worker:,Private wage and salary workers,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Industry:,Leisure and hospitality,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,14.2,12.7,12.5,12.8,12.4,12.3,11.4,10.8,11.4,11.1,12.4,12.0
2011,13.8,13.8,13.2,11.7,10.6,10.9,10.9,10.5,11.3,10.8,11.1,10.8
2012,12.6,11.6,10.9,9.8,9.7,9.8,9.7,10.1,9.7,9.9,10.3,10.8
2013,12.0,11.2,10.8,9.6,10.4,10.7,10.0,9.3,9.0,8.8,9.0,9.0
2014,9.5,10.3,10.2,8.0,8.1,8.6,8.1,8.1,8.3,8.5,8.2,7.5
2015,9.4,8.8,8.6,7.8,7.9,7.5,7.7,7.2,7.5,8.0,7.4,7.4
2016,7.7,7.1,7.2,6.5,6.6,6.6,6.0,6.6,6.5,6.7,7.1,6.4
2017,7.9,7.0,6.3,5.9,6.3,6.1,4.9,5.2,5.0,5.8,6.6,6.2
2018,6.8,6.8,5.8,5.2,4.9,5.7,5.2,5.8,5.4,5.4,5.3,6.0
2019,6.4,5.8,5.8,4.5,5.0,4.9,5.3,5.0,4.8,5.3,4.9,5.0
2020,5.9,5.7,8.1,39.3,35.9,28.9,,,,,,
