Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032232,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Class of worker:,Private wage and salary workers,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Industry:,Manufacturing (1070-3990),,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,13.0,12.1,12.6,11.1,10.3,9.9,10.0,9.5,9.6,9.5,9.9,10.0
2011,9.9,9.9,9.7,9.4,9.6,9.2,9.2,8.9,8.4,7.7,7.7,7.9
2012,8.4,8.4,7.6,6.9,7.1,6.9,7.2,7.3,6.7,7.0,6.4,7.5
2013,7.9,7.2,6.4,6.4,6.8,6.4,6.9,6.2,6.9,6.2,6.2,5.5
2014,5.6,5.5,5.4,5.2,5.3,4.4,5.2,5.0,4.5,4.3,4.2,3.9
2015,5.2,5.2,4.8,4.0,4.6,3.9,4.3,4.0,4.1,4.0,4.0,4.0
2016,4.3,4.7,4.3,4.5,4.7,3.7,4.3,4.2,4.2,4.3,3.9,4.0
2017,4.2,4.0,3.9,3.9,3.2,3.4,4.0,3.9,3.8,3.2,2.6,3.3
2018,3.4,3.6,3.3,3.3,3.4,3.1,3.8,3.2,3.5,3.2,2.9,2.8
2019,3.3,2.9,2.9,3.0,2.3,2.8,3.0,3.2,3.4,3.1,2.7,2.7
2020,3.4,3.9,4.2,13.2,11.6,9.1,,,,,,
