Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032239,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Class of worker:,Private wage and salary workers,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Industry:,Professional and business services,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,11.1,12.0,12.4,11.1,11.5,10.3,10.0,10.5,9.9,10.6,10.6,10.2
2011,10.2,10.1,10.0,9.1,9.8,9.1,9.4,9.5,10.1,10.1,9.0,9.3
2012,9.5,10.3,9.7,8.5,8.5,8.9,9.1,8.9,8.2,8.1,7.9,8.7
2013,10.4,9.6,8.9,8.1,8.0,8.2,8.1,8.0,7.5,7.5,7.5,7.3
2014,8.4,8.6,8.1,6.8,6.5,6.6,6.7,6.5,6.4,6.5,6.1,5.8
2015,6.8,5.8,6.5,5.3,6.1,5.2,5.4,5.4,5.3,5.4,5.2,5.2
2016,5.6,5.8,5.5,5.2,4.3,4.7,4.7,4.4,5.3,5.5,4.5,5.3
2017,5.7,5.5,5.5,4.9,4.1,4.1,4.0,4.5,4.1,4.1,4.0,4.2
2018,5.0,4.8,4.2,3.5,4.0,3.3,3.6,3.5,3.2,4.0,3.6,4.3
2019,4.9,4.3,3.9,3.5,3.4,3.6,3.4,3.2,3.2,3.5,3.6,3.1
2020,4.1,4.4,4.8,9.8,9.0,8.6,,,,,,
