Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04034163,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - Nonagricultural Private Wage and Salary Workers, Retail Trade",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Class of worker:,Private wage and salary workers,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Industry:,Retail trade,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,10.9,10.6,10.6,9.9,10.4,9.9,10.6,10.0,10.2,9.7,9.3,8.5
2011,9.6,9.4,9.0,9.2,9.8,10.4,10.0,9.5,9.8,9.1,8.7,8.6
2012,9.7,9.3,9.0,8.3,8.7,8.8,9.3,8.9,8.6,7.5,7.5,7.4
2013,8.6,8.8,8.0,7.6,7.4,7.3,7.2,7.7,7.7,7.4,7.5,6.7
2014,8.5,8.3,7.3,6.1,6.8,5.9,6.6,6.1,6.5,5.2,5.3,5.5
2015,6.7,6.1,6.4,6.1,6.6,6.1,6.2,5.4,5.6,5.4,5.4,5.2
2016,6.2,5.7,5.4,5.6,5.4,5.0,5.5,5.2,5.4,4.6,4.7,4.8
2017,5.8,5.6,5.2,4.5,4.9,5.3,5.1,5.0,4.4,4.5,4.6,4.2
2018,5.7,5.6,5.0,4.5,4.7,4.5,4.4,4.4,4.4,4.1,4.2,4.0
2019,5.3,5.6,5.1,4.7,4.4,4.1,4.3,4.2,3.6,3.7,3.5,3.9
2020,4.1,3.5,5.3,18.6,16.6,12.0,,,,,,
